특성별(1),특성별(2),특성별(3),특성별(4),시점,영업시간및일수별(1),영업시간및일수별(2),원데이터,전년 대비 증감,증감률
업종별,일반음식점 외,비알콜 음료점업,소계,2021,한달 영업일수,평균 (일),27.7,-0.5,-1.8
운영형태별,프랜차이즈,소계,소계,2021,1일 영업시간,12시간 미만 (%),56.5,7.9,16.3
운영형태별,프랜차이즈,소계,소계,2021,1일 영업시간,12시간 (%),20.7,-3.1,-13
운영형태별,프랜차이즈,소계,소계,2021,1일 영업시간,12시간 초과 (%),22.8,-4.8,-17.4
운영형태별,프랜차이즈,소계,소계,2021,1일 영업시간,평균 (h),11.2,-0.6,-5.1
운영형태별,프랜차이즈,소계,소계,2021,한달 영업일수,24일 이하 (%),1.9,-1.7,-47.2
운영형태별,프랜차이즈,소계,소계,2021,한달 영업일수,25~26일 (%),29.5,3.8,14.8
운영형태별,프랜차이즈,소계,소계,2021,한달 영업일수,27~28일 (%),13,-1.5,-10.3
운영형태별,프랜차이즈,소계,소계,2021,한달 영업일수,29~30일 (%),55.5,-0.7,-1.2
운영형태별,프랜차이즈,소계,소계,2021,한달 영업일수,평균 (일),28.3,0.1,0.4
운영형태별,비프랜차이즈,소계,소계,2021,1일 영업시간,12시간 미만 (%),71.5,7.6,11.9
운영형태별,비프랜차이즈,소계,소계,2021,1일 영업시간,12시간 (%),18.4,-5.7,-23.7
운영형태별,비프랜차이즈,소계,소계,2021,1일 영업시간,12시간 초과 (%),10.1,-1.9,-15.8
운영형태별,비프랜차이즈,소계,소계,2021,1일 영업시간,평균 (h),10.1,-0.5,-4.7
운영형태별,비프랜차이즈,소계,소계,2021,한달 영업일수,24일 이하 (%),6.4,0.6,10.3
운영형태별,비프랜차이즈,소계,소계,2021,한달 영업일수,25~26일 (%),46.8,6.2,15.3
운영형태별,비프랜차이즈,소계,소계,2021,한달 영업일수,27~28일 (%),15.2,-4.1,-21.2
운영형태별,비프랜차이즈,소계,소계,2021,한달 영업일수,29~30일 (%),31.6,-2.7,-7.9
운영형태별,비프랜차이즈,소계,소계,2021,한달 영업일수,평균 (일),27.2,-0.1,-0.4
지역별,서울권,소계,소계,2021,1일 영업시간,12시간 미만 (%),56.3,4.3,8.3
지역별,서울권,소계,소계,2021,1일 영업시간,12시간 (%),23.4,-2.3,-8.9
지역별,서울권,소계,소계,2021,1일 영업시간,12시간 초과 (%),20.3,-2,-9
지역별,서울권,소계,소계,2021,1일 영업시간,평균 (h),11.1,-0.5,-4.3
지역별,서울권,소계,소계,2021,한달 영업일수,24일 이하 (%),5.5,0.2,3.8
지역별,서울권,소계,소계,2021,한달 영업일수,25~26일 (%),41.4,8.9,27.4
지역별,서울권,소계,소계,2021,한달 영업일수,27~28일 (%),7.9,0.7,9.7
지역별,서울권,소계,소계,2021,한달 영업일수,29~30일 (%),45.1,-9.9,-18
지역별,서울권,소계,소계,2021,한달 영업일수,평균 (일),27.7,-0.1,-0.4
지역별,수도권,소계,소계,2021,1일 영업시간,12시간 미만 (%),73.1,15.9,27.8
지역별,수도권,소계,소계,2021,1일 영업시간,12시간 (%),16.9,-10.4,-38.1
지역별,수도권,소계,소계,2021,1일 영업시간,12시간 초과 (%),10,-5.4,-35.1
지역별,수도권,소계,소계,2021,1일 영업시간,평균 (h),10.1,-1,-9
지역별,수도권,소계,소계,2021,한달 영업일수,24일 이하 (%),4.6,-0.3,-6.1
지역별,수도권,소계,소계,2021,한달 영업일수,25~26일 (%),50.5,8.7,20.8
지역별,수도권,소계,소계,2021,한달 영업일수,27~28일 (%),9.5,-1.1,-10.4
지역별,수도권,소계,소계,2021,한달 영업일수,29~30일 (%),35.4,-7.3,-17.1
지역별,수도권,소계,소계,2021,한달 영업일수,평균 (일),27.3,-0.2,-0.7
지역별,충청권,소계,소계,2021,1일 영업시간,12시간 미만 (%),78.4,18.9,31.8
지역별,충청권,소계,소계,2021,1일 영업시간,12시간 (%),13.5,-14.7,-52.1
지역별,충청권,소계,소계,2021,1일 영업시간,12시간 초과 (%),8.1,-4.2,-34.1
지역별,충청권,소계,소계,2021,1일 영업시간,평균 (h),10.2,-0.2,-1.9
지역별,충청권,소계,소계,2021,한달 영업일수,24일 이하 (%),5.1,-2.3,-31.1
지역별,충청권,소계,소계,2021,한달 영업일수,25~26일 (%),38.7,5.4,16.2
지역별,충청권,소계,소계,2021,한달 영업일수,27~28일 (%),30.6,-9.4,-23.5
지역별,충청권,소계,소계,2021,한달 영업일수,29~30일 (%),25.6,6.2,32
지역별,충청권,소계,소계,2021,한달 영업일수,평균 (일),27.4,0.1,0.4
지역별,호남권,소계,소계,2021,1일 영업시간,12시간 미만 (%),64.7,-1.1,-1.7
지역별,호남권,소계,소계,2021,1일 영업시간,12시간 (%),22,5.1,30.2
지역별,호남권,소계,소계,2021,1일 영업시간,12시간 초과 (%),13.2,-4,-23.3
지역별,호남권,소계,소계,2021,1일 영업시간,평균 (h),9.9,-0.6,-5.7
지역별,호남권,소계,소계,2021,한달 영업일수,24일 이하 (%),3.5,-0.5,-12.5
지역별,호남권,소계,소계,2021,한달 영업일수,25~26일 (%),49.7,7.3,17.2
지역별,호남권,소계,소계,2021,한달 영업일수,27~28일 (%),14.6,-4.9,-25.1
지역별,호남권,소계,소계,2021,한달 영업일수,29~30일 (%),32.2,-1.8,-5.3
지역별,호남권,소계,소계,2021,한달 영업일수,평균 (일),27.3,0,0
지역별,경남권,소계,소계,2021,1일 영업시간,12시간 미만 (%),65.4,-0.4,-0.6
지역별,경남권,소계,소계,2021,1일 영업시간,12시간 (%),20.2,1.1,5.8
지역별,경남권,소계,소계,2021,1일 영업시간,12시간 초과 (%),14.4,-0.7,-4.6
지역별,경남권,소계,소계,2021,1일 영업시간,평균 (h),10.6,0,0
지역별,경남권,소계,소계,2021,한달 영업일수,24일 이하 (%),6.5,1.4,27.5
지역별,경남권,소계,소계,2021,한달 영업일수,25~26일 (%),30.4,-1.1,-3.5
